name|capital|surface|neighbors|timezone|density|population|languages|governance
Afganistan|Kabul|652864|Pakistan Iran Turkmenistan Uzbekistan Tadjikistan Republica Populară Chineză  |D† (UTC+4:30)|43.5|31822848|Paștună, Dari|De facto: Teocrație islamică unitară De jure: Republică islamică unitară prezidențială
Africa de Sud|Cape Town|1221037|Namibia Botswana Lesotho Zimbabwe Eswatini Mozambic  |UTC + 2|48.1|58775022|afrikaans, engleză, zulu, xhosa, swazi, ndebele, sotho de sud, sotho de nord, tsonga, tswana, venda|republică parlamentară 
Albania|Tirana|28748|Grecia Macedonia de Nord Serbia Muntenegru Uniunea Europeană Kosovo  |UTC + 1|111.1|2831741|albaneză|republică
Algeria|Alger|2381741|Maroc Libia Niger Mali Tunisia Mauritania Sahara Occidentală Italia Spania  |UTC +1|15.9|40400000|limba arabă, franceză|Republică semi-prezidențială unitară
Andorra|Andorra la Vella|47663|Franța Spania Uniunea Europeană Catalonia Occitania  |CET (UTC+1)|181.94|85082|catalană|co-principat parlamentar
Angola|Luanda|1246700|Namibia Republica Democrată Congo Zambia Republica Congo Gabon  |UTC+1|14.8|29784193|portugheză|republică prezidențială
Antigua și Barbuda|St. John's|442||UTC/UTC+4|152|102012|Engleza|Monarhie constituțională
Arabia Saudită|Riad|2149690|Iordania Kuweit Qatar Bahrain Emiratele Arabe Unite Oman Yemen Irak Egipt Iran  |AST (UTC+3)|12.3|33000000|Arabă|Monarhie absolută
Argentina|Buenos Aires|2780400|Bolivia Brazilia Chile Paraguay Uruguay  |ART (UTC-3)|14.4|41660417|Spaniola, de facto|Republică federală
Armenia|Erevan|29743|Iran Turcia Azerbaidjan Georgia  |UTC|101.5|3054506|Armeană, [1]|Republică semiprezidențială [2]
Australia|Canberra|7617930|Indonezia Noua Zeelandă Papua Noua Guinee Timorul de Est  |UTC+8 (Australia de Vest)UTC+9:30 (Australia de Sud, Teritoriul de Nord)UTC+10 (Australian Capital Territory, Noul Wales de Sud, Queensland, Tasmania, Victoria)|3.3|25017500|engleză|Monarhie constituțională
Austria|Viena|83879|Italia Liechtenstein Elveția Cehia Ungaria Slovacia Slovenia Germania  |UTC+1|101.4|8725931|Germană austriacă|Republică federală
Azerbaidjan|Baku|86600|Armenia Iran Turcia Rusia Georgia Arțah  |AZT (UTC+4)|105.8|10127874|limba azeră|Republică semiprezidențială, Dictatură ereditară, Totalitarism
Bahamas|Nassau|13940|Statele Unite ale Americii  |UTC–5|23.27|321834|engleza|Monarhie constituțională
Bahrain|Manama|780|Arabia Saudită Iran  |UTC+3|1831.1|1569446|limba arabă, limba engleză|Monarhie constituțională
Bangladesh|Dacca|144000|Myanmar India  |UTC + 6|1002|165775000|limba Bengali|Republică parlamentară
Barbados|Bridgetown|430||UTC - 4|642|285719|limba engleză|Republică parlamentară
Belarus|Minsk|207595|Letonia [6] Lituania [6] Polonia Ucraina [6] Rusia [6] Uniunea Europeană  |Ora Kievului[5] (UTC+3)|60|12435807|belarusă, rusă|Republică prezidențială
Belgia|Bruxelles|30528|Germania Luxemburg Franța Țările de Jos Regatul Țărilor de Jos  |UTC+1|362.6|11071483|limba neerlandeză, limba franceză, limba germană, |monarhie constituțională
Belize|Belmopan|22966|Guatemala Mexic  |CST (UTC-6)|15|374681|engleză|Monarhie constituțională
Benin|Porto Novo|112620|Burkina Faso Niger Nigeria Togo  |UTC + 1|78.1|8791832|franceză|Republică prezidențială
Bhutan|Thimphu|47500|Republica Populară Chineză India  |UTC+6|14|807610|bhutaneză|Monarhie
Birmania|Naypyidaw|676578|Bangladesh Republica Populară Chineză India Laos Thailanda  |UTC+6:30|76|51486253|Limba birmană|Republică prezidențială sub o Juntă militară
Bolivia|Sucre|1098581|Argentina Brazilia Chile Paraguay Peru  |UTC−4|9|10556102|spaniolă, quechua, aimara, [4]|Republică constituțională prezidențială unitară
Bosnia și Herțegovina|Sarajevo|51129|Muntenegru [5] Croația Serbia Uniunea Europeană  |UTC + 1|75.1|3839737|bosniacă, croată, sârbă|republică federală
Botswana|Gaborone|581730|Namibia Africa de Sud Zambia Zimbabwe  |UTC+2|3.4|2250260|engleză, tswana|Republică parlamentară
